Company_ID,NEW_CONAME,Year,LabID_new,Lab_Location,Lab_State,StateOwned,ForeignOwned,DSIR_Code,LabLat,LabLong
49,Alchem International,2005,57,Delhi,Delhi,0,0,1,28.635308,77.22496
49,Alchem International,2006,57,Delhi,Delhi,0,0,1,28.635308,77.22496
49,Alchem International,2007,57,Delhi,Delhi,0,0,1,28.635308,77.22496
49,Alchem International,2008,57,Delhi,Delhi,0,0,1,28.635308,77.22496
49,Alchem International,2009,57,Delhi,Delhi,0,0,1,28.635308,77.22496
49,Alchem International,2010,57,Delhi,Delhi,0,0,1,28.635308,77.22496
50,Alcon Biosciences,2009,58,Mumbai,Maharashtra,0,0,1,19.017615,72.856164
50,Alcon Biosciences,2010,58,Mumbai,Maharashtra,0,0,1,19.017615,72.856164
51,Alembic,2003,59,Vadodara,Gujarat,0,0,1,22.3059,73.1908
51,Alembic,2005,59,Vadodara,Gujarat,0,0,1,22.3059,73.1908
51,Alembic,2006,59,Vadodara,Gujarat,0,0,1,22.3059,73.1908
51,Alembic,2007,59,Vadodara,Gujarat,0,0,1,22.3059,73.1908
51,Alembic,2008,59,Vadodara,Gujarat,0,0,1,22.3059,73.1908
51,Alembic,2009,59,Vadodara,Gujarat,0,0,1,22.3059,73.1908
51,Alembic,2010,59,Vadodara,Gujarat,0,0,1,22.3059,73.1908
51,Alembic,2010,2067,Karakhadi,Gujarat,0,0,1,22.210278,72.901944
52,Alkali Metals,2003,60,Hyderabad,Andhra Pradesh,0,0,1,17.385044,78.486671
52,Alkali Metals,2005,60,Hyderabad,Andhra Pradesh,0,0,1,17.385044,78.486671
52,Alkali Metals,2006,60,Hyderabad,Andhra Pradesh,0,0,1,17.385044,78.486671
52,Alkali Metals,2007,60,Hyderabad,Andhra Pradesh,0,0,1,17.385044,78.486671
52,Alkali Metals,2008,60,Hyderabad,Andhra Pradesh,0,0,1,17.385044,78.486671
52,Alkali Metals,2009,60,Hyderabad,Andhra Pradesh,0,0,1,17.385044,78.486671
52,Alkali Metals,2010,60,Hyderabad,Andhra Pradesh,0,0,1,17.385044,78.486671
53,Alkem Laboratories,2003,61,Mumbai,Maharashtra,0,0,1,19.017615,72.856164
53,Alkem Laboratories,2005,61,Mumbai,Maharashtra,0,0,1,19.017615,72.856164
53,Alkem Laboratories,2006,61,Mumbai,Maharashtra,0,0,1,19.017615,72.856164
53,Alkem Laboratories,2007,61,Mumbai,Maharashtra,0,0,1,19.017615,72.856164
53,Alkem Laboratories,2007,62,Bangalore,Karnataka,0,0,1,12.971599,77.594563
